Link,Place,Title,Image,Date,Location,InfoLink,Member,Article
https://artemperor.tw/tidbits/18718,台灣，台中市,雨果曐 Gallery【南馬 久志 HISASHI NAMBA 】日本・本建正藍染,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/119/881/v6x8bbsww9s5l0t69e87eg52xbgddmus_800x420^.jpg,2025-08-21 ~ 2025-09-15,台中市西區五權西二街2號,https://www.facebook.com/yong.ming.studio,南馬 久志,"【 南馬 久志 HISASHI NAMBA 】
▌本建正藍染
「 只使用蓼藍與木灰汁調製，接著以貝灰與麥麩維持狀態 」這就是日本的「本建正藍染」。
正藍染的特色為抗菌、防蟲、抗遠紅外線等效果。同時也具有不容易褪色、不會移染色其他布料等特色。
·蓼藍 — 將綠葉用堆肥的方式進行發酵的原料。
·建 — 發酵。
·藍建 — 自古使用的發酵方式，也被稱之為「本建」。
−
展期｜2025.08.21 （四）- 09.15（一）
營業｜週四至週日 • 14:00-18:30
週一採預約制
地點｜台中市西區五權西二街14號
#へのへのもへじ #南馬久志 #雨果曐 #gallery #artspace #exhibition #日本藝術家 #正藍染 #型染"
https://artemperor.tw/tidbits/18636,台灣，台中市,雨果曐 Gallery【へのへのもへじ｜南馬 久志 個展】HISASHI NAMBA SOLO EXHIBITION,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/119/583/l7c5zysoo5kp16x35720svy6jdbib61p_800x420^.jpg,2025-08-21 ~ 2025-09-15,台中市西區五權西二街14號 雨果曐,https://www.facebook.com/profile.php?id=100076348324653,南馬 久志,"【 へのへのもへじ｜南馬 久志 HISASHI NAMBA 】
凝視著古老布料上的紋樣時
不禁想到
究竟有多少數不盡的 不知姓名的工匠們
曾經為了這一區區一道道的花紋
傾注過多少心血啊
陷入沉思時
無名面孔匯聚成的群像
竟化作幻影
在眼前攢動
我想那時若能
融入這圓環中的一員
該多麼美好
想像著工匠們的傳承接力棒
【 へのへのもへ字 】 化作其象徵的符號（紋樣）
試以每行三十三面
二行六十六三行九十九
三百六十五行盡頭
【 へのへのもへ字 】 排列的寸法
在型染的布料上
刻寫循環往復的紋樣
是為了讓浸透其中的願念
永續不使斷絕
歸根究底 紋樣並非裝飾
而是向使用者傳達
言語無法乘載的密語
生命在循環往復間
方為永恆真義
文｜南馬 久志 2025.08
,
▌本建正藍染
「 只使用蓼藍與木灰汁調製，接著以貝灰與麥麩維持狀態 」這就是日本的「本建正藍染」
正藍染的特色為抗菌、防蟲、抗遠紅外線等效果。同時也具有不容易褪色、不會移染色其他布料等特色。
·蓼藍 — 將綠葉用堆肥的方式進行發酵的原料。
·建 — 發酵。
·藍建 — 自古使用的發酵方式，也被稱之為「本建」。
−
展期｜2025.08.21 （四）- 09.15（一）
營業｜週四至週日 • 14:00-18:30
週一採預約制
地點｜台中市西區五權西二街14號
#へのへのもへじ #南馬久志 #雨果曐 #gallery #artspace #exhibition #日本藝術家 #正藍染 #型染"
https://artemperor.tw/tidbits/18817,台灣，台中市,清水眷村文化園區【彼時彼時彼時 此時此時此時】,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/120/319/rzkpxkvue5c40l512qh4xkykrmnhyjdf_800x420^.jpg,2025-08-21 ~ 2025-09-16,清水眷村文化園區 西12號房舍 / 台中市清水區中社路信義巷44號,https://www.facebook.com/profile.php?id=100076348324653,王子洋、周書亞、游雨築、蔡昕恩,"此展覽透過虛構角色「阿賓」這個生活於民國50年左右的眷村小孩，帶著觀眾們進入當時的時空背景，由王子洋作為策展人兼參展人邀請三名藝術家周書亞、游雨築、蔡昕恩進行創作。
創作內容主要圍繞著主人公阿賓的家庭和生活狀態進行發想與連結，透過類田野調查、踏訪與文獻查閱去了解「阿賓」所處的時空背景和社會樣貌，包括語言、常見的家庭架構等。作品題材以當時於眷村家庭常見的職業與工種為主，將這些職業的工作環境、性質作為作品的切入點，讓身處於當代的我們以現在的角度回溯台灣這段民生歷史，進行一種歷史的重塑和致意。
蔡昕恩透過阿賓姊姊任職附近的「麵粉工廠」為創作主題，隨著麵粉尋找清水的其他製麵廠區在哪裡，將工廠的點對點，用手指頭畫線連在一起，使用麵粉與微型的工廠輸送滑梯，將田野調查的實踐以現成物將製麵廠與其地緣關係轉譯。
阿賓對哥哥在「空軍降落傘修製廠」上班的趣事與降落傘的製作過程產生幻想。游雨築想像阿賓的幻想，以降落傘為主要作品元素，透過現成物的組合排列，將這份想像具現化，帶領觀眾進入阿賓的想像。
王子洋創作以當時阿賓父親工作的「空軍發動機製造廠」為故事背景，透過空間裝置的手法，在清水眷村這個空間中放置一個鐵皮工廠，使用收集的機械與勞動的吵雜聲音連結觀眾，讓觀眾進入到「阿賓」的時空背景。
周書亞藉由阿賓母親在家中做「家庭代工」切入點，透過「縫紉」和「拼接」象徵母親串連和鞏固家庭的重要角色，也透過「家庭代工」的題材，向時代的轉變致意。"
https://artemperor.tw/tidbits/18796,國際，義大利,威尼斯亞布里奇宮 Palazzo Albrizzi - Capell【離相之際 : 藝術與空間的交織思考】Between Form and Formlessness: Interweaving Art and Spatial Thought,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/120/220/cr5dttiuztho6fy9ut4y9vxhgnj0l088_800x420^.jpg,2025-08-23 ~ 2025-09-19,威尼斯亞布里奇宮 Palazzo Albrizzi - Capell,https://www.facebook.com/profile.php?id=100076348324653,張志成、張國治、王藁賢、許棕宣、施承澤、周明翰、葉書羽、蕭志中、徐主音、石芳瑜、蕭志夫、林庭暐、黃文琳、陳美嘉、張正齡、蔡佳吟、葉逸翔、賴譜光、高素寬、蔡沛珊、陳麗玲、吳放、孔祥如、葉方,"文／許棕宣
「離相之際」，正是形式與非形式交錯的瞬間。在這樣的時空縫隙裡，藝術不再只是觀看的對象，建築亦不僅是承載使用的容器，而是一種彼此穿透的臨場經驗——視覺、身體、時間與記憶在此交疊、映現，一如水面上的倒影，模糊而真實，流動而堅定。
威尼斯，這座建構於水面之上的城市，恰恰體現了「離相之際」的空間詩學。它不只是歷史的承載體，更是不斷生成當代感知與詮釋的動態場域。
在這城市中，藝術與建築如潮水般互相滲透。藝術，離相而不離體，總在物質之中召喚出不可見的感性場域；建築，則於空間構築中保留著時間性的痕跡與存在的餘震。兩者相遇之處，正是實踐的交匯點、感知的生成場。威尼斯彷彿一個天然的展演空間，讓這種交會成為日常的現場。
空間在此不再是靜態的三度維度，而是一種持續生成的感性網絡。藝術作品在其中不是被展示，而是與空間共構、共成，生成臨在的詩學。這樣的共振，正發生於離相之際：不執著於具象，也不落入空無，而是在「非形中見形」，於「不住相」中感知存在的深度與曖昧的力量。
而威尼斯，作為這種「離相空間」的具現場，回應著「無邊界的存在」——它位於水與陸之間，界線不明；它於歷史與當代之中，交織難分；它在實體與映像之際，不斷閃現。正是在這樣模糊、滲透、裂縫般的感知場域中，我們得以觸及那稍縱即逝、卻無限深廣的存在之光。"
https://artemperor.tw/tidbits/18525,台灣，新北市,財團法人麗寶文化藝術基金會【恒續之脈—Ümit Turgay Durgun雕塑個展】,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/118/810/sk31ol37859sja19gtyjbk0bvuywrijb_800x420^.jpg,2025-07-04 ~ 2025-09-19,新北市新莊區中央路376-1號2樓(麗寶商業大樓),https://www.facebook.com/profile.php?id=100076348324653,Ümit Turgay Durgun,"麗寶文化藝術基金會隆重推出國際雕塑展覽《恒續之脈》（The Enduring Thread），邀請來自土耳其的新銳雕塑家杜爾甘Ümit Turgay Durgun，透過其獨特的跨界創作語彙，帶領觀眾進入有關「不朽」與「演化」的深層探索，展期自2025年7月4日到9月19日。
Ümit Turgay Durgun的創作核心圍繞著生命起源、演化動力以及文明傳承等宏觀議題，他的作品試圖打破物種疆界，以充滿想像力的混合生物造型，結合魚類的流線、飛鳥的延展、人類的軀幹結構，呈現出一群無法被科學定義的新型生命體。在每件雕塑中，這些神祕生物以平靜凝視的姿態面對觀眾，彷彿邀請人們一同思索自身在浩瀚宇宙洪流中的位置與價值。
此次展覽作品在材質選用與工藝呈現上，展現出藝術家對於材料特性的深厚掌握與創新實驗精神。從傳統雕刻材質如大理石、花崗石、木頭，到現代工業感濃厚的不鏽鋼與金屬管件，Ümit將古典與當代技法巧妙融合，搭配現代機械裝置，部分作品更內建程式控制系統，透過緩慢而精確的旋轉與運動，賦予雕塑有機般的生命律動。觀眾在展場中，將不僅止於靜態欣賞，更可透過作品的動態互動，感受雕塑在空間中所編織出的張力與節奏。
展覽名稱《恒續之脈》，正是藝術家對「不朽」（Immortality）概念的獨特詮釋。Ümit認為，生命的意義不僅在於存在，而在於不斷承繼與延展。他表示：「未來從未遺忘過去，而是一直在用未來的方式銘刻記憶。」透過這些作品，藝術家邀請觀眾反思，每個生命個體如何在傳承與變動中，創造屬於自己的軌跡。"
https://artemperor.tw/tidbits/18615,台灣，台北市,TAO ART【Diary on the Blues】Sujin Lee 李秀真,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/119/397/cnxm2u4mrbifwfng99ys2i6d1e1ya1o6_800x420^.jpg,2025-07-26 ~ 2025-09-20,TAO ART（台北市內湖區洲子街79-1號8樓）,https://www.facebook.com/profile.php?id=100076348324653,李秀真,"備受矚目的韓國新銳藝術家李秀真將於TAO ART推出台灣首度個展「Diary on the Blues」
展覽日期：2025 年 7 月 26 日 至 9 月 20 日，星期二至星期六，上午 11 時至下午 7 時
地點：TAO ART（台北市內湖區洲子街79-1號8樓）
媒體預覽：2025 年 7 月 25 日（星期五）下午 3 時 至 5 時
開幕酒會：2025 年 7 月 26 日（星期六）下午 4 時 至 7 時
TAO ART 很榮幸與倫敦薩奇雅茨畫廊（Saatchi Yates）合作，推出韓國藝術家李秀真（Sujin Lee）在台灣的首度個展「Diary on the Blues」，呈現2024–2025年間創作的全新繪畫作品，延續她對複雜情感與內在狀態的深度探索。
李秀真擅長以細膩的少女意象與身體語言，捕捉自我邊界、欲望與恐懼、距離與親密之間曖昧的心理張力。對她而言，藍色不只是色彩，也象徵著一個中介性的心理空間——在壓力與柔軟之間、憂鬱與靜謐之間，承載著那些尚未說出口的情感重量。從冷色極簡的背景，到近期新作中的自然風景，她以繪畫為那些難以言喻的感受賦予形體，使其得以被容納、被感知，並被轉化。她筆下的少女如同一面鏡子，映照著我們潛藏的脆弱與渴望。
無論是《女孩》（A Girl，2024）將自己包裹起來的姿態，或者是《眨眼》（Eyewinker，2024）中少女的手勢，皆展現出孩童般的純真氣質，與深具感染力的情感表達。畫作中的「少女」不再關乎年齡，而是一種心理狀態，象徵著某種對世界極度易感而脆弱的存在。在《寂靜》（Stillness，2024）中，女子赤裸上身，只著深藍長褲，臉龐籠罩於陰影中，沒有直接展露情緒，卻散發著內省、或許憂鬱的氣息，她的身體語言開啟了一個空間，讓觀者去感知那份無聲而親密的交流。
在《你和我》（You and Me，2024）與《關注》（Interest，2024）等作品中，則是以「雙生」或「分身」（doppelgänger）的結構，來呈現自我與他者間關係的不確定性。儘管畫中的兩個角色外貌幾乎一模一樣，但兩者之間缺乏界線或空間，暗示著細微卻令人不安的被侵犯感。李秀真的筆下人物在親密與疏離之間搖擺，在脆弱的平衡中共存。
隨著對女性細膩情感的描繪愈加深化，李秀真在2025年的新作中，也引入了更多自然場景，營造出更鮮明的空氣感與流動感。《微風之下》（Under the Breeze，2025）鮮明而生動，令人驚艷；《雨天》（Rainy Day，2025）則出色地捕捉了女孩幾近透明的襯衫貼和濕潤肌膚的質感，濕髮的光澤，以及她眼中情緒滿溢的淚光。這些細節與雨水落下的筆觸節奏、樹木搖曳的動態相互交織，使畫面瀰漫著甜美與哀愁，以及被雨水浸透的身體記憶。
在她2024年6月的日記中，李秀真寫道：
「當我變得沉重——
沉重得宛如傾盆而下的雨水，
渾身濕透，肩膀垂下——
我向下沉，如同雨滴匯聚後的下沉。
那股重量好壓迫，
但被壓低時的感覺，
有時反而為我帶來平靜。
我無法壓垮自己，
所以就讓那些沉重的雨滴壓垮我吧。」
雨如同是一種隱喻，代表壓倒性的情緒、情感的潰提，最終轉化為深層的接受。繪畫對藝術家而言成了承載無形與不可言說之物的容器，提供了一個釋放、包容、以及安靜交流的空間。在李秀真的世界中，藍色是允許所有悲傷、平靜和喜悅共存的顏色。《Diary on the Blues》不僅展現了李秀真愈趨成熟的繪畫語言，也流露出一種經歷深層沉潛後，才得以生長出的真誠與力量。
TAO ART 創辦人 Vicky Chen 表示：「初次接觸 Sujin 的作品時，我便被畫面中角色生動有趣的氣質所吸引，印象深刻。隨著近兩三年來持續關注她的創作與脈絡，我逐漸感受到其畫作所蘊藏的多重情感層次與細膩張力，那些看似輕盈、柔和的筆觸背後，其實潛藏著對女性情感狀態與日常生活的深刻洞察。或許因為我們年齡相近，我對她筆下的女性形象及其流露出的內在情緒產生了強烈的共鳴。Sujin 的作品引發觀者對自身生命經驗的反思與投射，在她所創造的人物中，每個人都能找到屬於自己的片段與情感回聲。」
▐ 關於藝術家 李秀真（Sujin Lee）
李秀真出生於韓國濟州島，當地以其豐富的自然景觀而聞名。此後她遷居至充滿都會氣息的首爾——這座與她故鄉截然不同的城市，如今已成為她⽣活與創作的基地。李秀真的作品深受其親密朋友圈的啟發；她探問「這些女孩代表著什麼？是我自己嗎？還是只是畫中人物？」藉此引導觀者將她畫筆下的角色視為女性友誼的象徵，同時也象徵著我們與自身及他人之間的關係，甚至映照出藝術家私密的內心一隅。她亦從家鄉濟州島的自然景致與靜謐氛圍中汲取靈感，作品中常以城市景觀為背景，描繪被繁茂植物所圍繞的女性群像。李秀真的繪畫作品真摯地捕捉了女性友誼、姊妹情感，以及其間幽微而豐富的情感層次。
2019年，她獲頒第47屆濟州藝術大展（Grand Art Exhibition of Jeju）的「精選藝術家獎」。過往展覽包括：《Glad to Me》，Carlos Queso 畫廊，洛杉磯（2016）；「One Page」，Lottie 畫廊，首爾（2017）；「Art in My Mouth」，Secret Fresh 畫廊，馬尼拉（2019）；「李秀真》，薩奇雅茨畫廊，倫敦（2022）；《成為你的我》，薩奇雅茨畫廊，H Queen’s，香港 （2024）。李秀真的作品曾在中國上海chi K11美術館展出，並被比利時布魯塞爾博格豪森基金會（Boghossian Foundation, Brussels, Belgium） 以及巴西美景市印尼瑪・德保拉博物館 （Museu Inima De Paula）所永久收藏。
▐ 關於TAO ART
由 Vicky Chen（陳薇捷）創立，是一個嶄新型態的藝術空間，結合收藏和展示的功能。空間由日本建築大師青木淳（Jun Aoki）操刀，以「都市園林」為概念，打造出融合古典、經典、當代藝術的生活場域，透過白立方空間、茶室、起居室等，體現藝術融入生活的可能性。TAO ART 期許自己是一個多元可能的藝術空間，以有趣生活化的方式將藝術介紹給觀眾，一方面支持台灣當代藝術躍上國際，另一方面將國際資源引入台灣，定期舉辦當代藝術展覽、座談與交流，作為一個台灣與國際接軌的平台。
▐ 關於薩奇雅茨畫廊
薩奇雅茨（Saatchi Yates）為國際知名的當代藝術畫廊，由薩奇美術館創始人女兒菲比・薩奇・雅茨（Phoebe Saatchi Yates）與亞瑟・雅茨（Arthur Yates）共同創立，於 2020 年在倫敦梅費爾首次亮相。自成立以來，畫廊憑借其豐富多元的展覽項目備受關注，既致力於推廣新興藝術家，也呈現來自頂級私人收藏的現代和當代藝術。2023年，薩奇雅茨遷址至倫敦聖詹姆斯區（St James’s）。佔地 12,000 平方英尺，全新的畫廊設有專門呈現新興藝術家的橫向展廳，同時配備私人展覽空間，專用於二級市場的藝術展示。
除了倫敦的展覽項目，薩奇雅茨也將策展視野拓展至全球，在歐洲、美國和亞洲舉辦了一系列成功的展覽。2022年，畫廊於法國南部的聖莫爾酒莊策劃展覽，並在邁阿密推出特斯法耶・烏爾蓋薩（Tesfaye Urgessa）的個展。2024年，烏爾蓋薩代表埃塞俄比亞參加第60屆威尼斯雙年展；李秀真（Sujin Lee）於香港 H Queen’s 展出；奧馬爾・拉赫布（Omar El Lahib）亮相上海；班傑明・斯皮爾斯（Benjamin Spiers）在巴黎舉辦了全新的個人展覽；隨著作品被納入館藏，奧拉奧盧・斯勞恩（Olaolu Slawn）在邁阿密魯貝爾博物館（Rubell Museum）舉辦了個展。2025年，薩奇雅茨回到香港H Queen’s，呈現了威爾・聖約翰（Will St. John）的首次亞洲個展。"
https://artemperor.tw/tidbits/18456,台灣，新竹市,絕版影像館【《窺視作業中》— 瑟米爾．陶迪個展】,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/118/535/03fif12waibrlc2wybnqy351ysjn7p5z_800x420^.jpg,2025-07-05 ~ 2025-09-20,絕版影像館2F放映室(東南街53巷47-1號),https://www.facebook.com/profile.php?id=100076348324653,瑟米爾．陶迪,"絕版影像館榮幸推出印度藝術家瑟米爾．陶迪 （Sameer Tawde）《窺視作業中》，展覽將於 2025 年 7 月 5 日（週六）下午 3 時開幕，藝術家將親自出席。展覽將持續展出至 9 月 20 日。
自 2018 年起於藝廊個展形式展出的陶迪，以其創作《Dialogues of an Introvert（內向者的獨白）》與《Holy Boulevard（神聖大道）》廣受注目，透過帶有幽默與詩意的視角，觸及日常生活中的超現實與環境議題。此次展覽《窺視作業中》藝術家在創作媒材與焦點上的重要轉向，聚焦於錄像裝置、動力物件與雕塑創作。呼應此轉變，展覽也被納入絕版影像館二樓放映室計畫，該計畫致力於支持具實驗性與時間性基礎的創作形式。同時，陶迪也將有錄像作品亦於台北當代藝術館（MoCA Taipei）「MoCA Video 2025」展出，該年度計畫聚焦探討社會、文化與個人情感議題的錄像藝術創作。
藝術家表示：「在當代高度連結的世界中，監控如同空氣與水一樣無所不在。它滲入我們的互動、情緒與決策，往往無聲無息，也未經允許。《窺視作業中》便是我對這一現實所做出的個人與創意回應。」藝術家透過本次展覽，探討當代生活中無所不在的監控經驗，藉由劇場性、荒謬感以及心理張力作為切入點。
透過一系列雕塑介入與動態影像作品，陶迪剖析「被觀看」這種曖昧不明的親密感——無論來自制度、科技，或是我們內化的自我凝視。他的作品在幽默與批判、荒誕與深刻之間游移，引導觀者重新審視日常中那些無形卻影響深遠的控制結構。
《窺視作業中》延續藝廊的策展理念：呈現大膽且具批判意識的創作實踐，透過跨領域手法回應當代生活的處境與複雜性。"
https://artemperor.tw/tidbits/18632,台灣，台北市,安卓藝術【石晉華】,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/119/577/f97abdreyxarnw62j9ms9zxel34a8kry_800x420^.jpg,2025-08-16 ~ 2025-09-20,文湖街20號1F,https://www.facebook.com/profile.php?id=100076348324653,石晉華,"安卓藝術將於2025年8月，推出我們慶祝畫廊15週年的第二場展覽「石晉華」。作為畫廊追念藝術家石晉華於2024年夏天因為車禍意外往生的一次特別展出，本展匯聚了安卓成立以來在不同時期推薦的石晉華作品，包含其最為人知的「走筆」系列與《走鉛筆的人》，兼容「行走」與「測量」概念的《今日藝術》、《一千日》和《胰島日月記——2019年10月》以及為數不多卻是藝術家後期最為享受繪畫樂趣的「油畫」系列。展出的多件《走筆》於私人收藏十多年來未曾曝光，是本次也獲得藏家支持下難得借出亮相。展覽定於2025年8月16日至9月20日之間舉行，並於8月16日下午2:30邀請長年與藝術家合作的策展人陳宏星老師與收藏家陳泊文醫師進行座談，分享他們心中的石晉華。開幕茶會接續於當日下午四點半舉行，我們誠摯請您的蒞臨。
自從17歲診斷出幼年型糖尿病後，驗血、記錄、注射胰島素就成為石晉華生命中每日進行的日常。而他在系統學習觀念藝術後，「測量」這個原本只為保證生命而被迫進行的行為，卻轉而成為他賦予自己生命意義與價值的機會。藝術家將其轉化為藝術創作的「形式」，藉以表達其嚴肅、沉重，或幽默、抒情的「內容」。在《胰島日月記》中，石晉華以一個月的時間，連續每日將自己所需的胰島素劑量用注射器打出，混合鉛筆的筆觸在水彩紙上留下充滿韻律節奏的線條和其模糊的暈染。這31個團線的塗畫，串接起藝術家個人生存的藥物治療和藝術轉化下的切身體驗，表達其生命裡獨特的時間與藝術刻度。而十年前完成的《一千日》，則是石晉華將其佛教信仰與個人測量行為交融的代表。藝術家每日持唸「南無地藏王菩薩」一千遍，如此持續一千日，並在每日刺破手指驗血糖時將血滴留在宣紙上，在血點下方用鉛筆記錄當日持念佛號的次數，以三年多的時間完成這件經典的行為藝術。《一千日》中的每一個點都是藝術家匯聚精神，將內心專注於一件事物的具象化。對石晉華而言，這一千個點是點在心中的的同一處，是「一個菩提的心苗，永不放棄，直到圓滿」。石晉華將每日為延續生命而做的測量與記錄昇華為對內在精神的儀式性探索與呈現。"
https://artemperor.tw/tidbits/18633,台灣，台北市,安卓藝術【「從光裡經過」嚴友亨個展】,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/119/578/jwem2qmcrcivx58388hdjglfbyanob56_800x420^.jpg,2025-08-16 ~ 2025-09-20,文湖街20號1F,https://www.facebook.com/profile.php?id=100076348324653,嚴友亨,"安卓藝術很開心於 2025 年的仲夏，在畫廊衛星空間Project Room推出一位繪畫新秀嚴友亨的個展「從光裡經過」，展出藝術家近半年的最新創作。展覽的15件繪畫，關注影像過度曝光與失焦下的畫面表現，以畫筆留下這些不尋常的視覺效果，將我們日常熟悉的場景，透過影像與繪畫之間的轉譯詮釋出新的視角。目前仍就學於台灣藝術大學美術系碩士班的嚴友亨，畫裡散發出一股混合著靜謐、溫暖、幽微且懷舊的詩意，在視覺的閱讀與心靈的感受中令人著迷。展覽訂於8月 16 日至9月20日之間舉行，並於8月16日（週六）下午5點舉辦開幕茶會，我們誠摯歡迎您的蒞臨。
2001年出生的嚴友亨，是完全長成於21世紀數位科技和線上世界共構下的藝術家。這位年僅24歲的創作者，沒有選擇同儕愛好的虛擬世界和潮流藝術，反倒迷戀起20世紀傳統攝影與黑白電影中的類比語言，並從中汲取養分。這或許解釋了藝術家的畫作中所抒發的靜謐與懷舊氣質，也對應他在創作自述中所提：｢最初使用底片相機意外的拍攝出一張隔著玻璃，顯現出有些曝光、失焦、朦朧的相片，從而開始思考這個意外所產生的意義。一般來說，過度曝光、失焦的相片，對攝影而言是常被視為失敗的照片，但我卻被這些不尋常的視覺效果所迷戀著。有別於過往的創作專注於表現觀看當下所感受到的情感，這個階段我開始思考要將這意外所產生的視覺效果呈現出來，讓畫面變得有些陌生，並散發更多的奇異感，將這些日常熟悉的場景透過繪畫詮釋出新的視角。」"
https://artemperor.tw/tidbits/18641,台灣，高雄市,Hskin藝術沙龍【 My Dear 女性藝術家群展】,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/119/610/a0t7li3b3cdqh03xkk94o2dxbaykl76n_800x420^.jpg,2025-07-28 ~ 2025-09-20,Hskin藝術沙龍（高雄市鼓山區龍德路106巷32號4樓）,https://www.facebook.com/profile.php?id=100076348324653,張瑞秋（Rachel Zhang）、李秀真（Sujin Lee）、安吉拉·桑塔娜（Angela Santana）、森萬里子（Mariko  Mori）,"薩奇雅茨畫廊很榮幸與台灣Hskin藝術沙龍合作，共同呈現五位來自不同文化背景的女性藝術家之間跨越語言與媒材的對話。展覽探討女性藝術家如何透過不同視覺語言回應觀看、身分與親密性議題，從繪畫到雕塑，她們在形式與敘事之間構築出複數經驗的表達場域。參展藝術家包含薩奇雅茨畫廊代理藝術家張瑞秋（Rachel Zhang）、李秀真（Sujin Lee）與安吉拉·桑塔娜（Angela Santana），並與Hskin藝術沙龍主理人 Michelle Lu 收藏中的維多利亞·坎頓（Victoria Cantons）與森萬里子（Mariko
Mori）作品交織呈現。張瑞秋、坎頓與森萬里子的作品亦來自Hskin主理人的個人收藏，反映空間策展與收藏視角的緊密連結。
張瑞秋的繪畫往往從個人與集體歷史的交匯處出發，觸及身份、文化與社會壓力交織下的女性經驗。作為華裔美國第二代，她將亞裔女性的可見性、差異性與歸屬焦慮轉化為充滿象徵意味的超現實場景。畫面中常見家庭記憶、城市空間與歷史隱喻的混合——既熟悉又錯位，讓觀者在視覺迷宮中思考個體如何在文化疊層中尋找位置。張瑞秋以繪畫作為一種觀察與編織的工具，捕捉身份變化中潛藏的情感張力與社會結構的不穩定性。
出身於韓國濟州島的李秀真，擅長以極簡構圖與卡通化形象捕捉都市女性的精神圖譜。在作品《親愛的她》（My Dear）中，兩位女性的身體交纏卻又彼此遮蔽，畫中凝視如同情感迷霧中交錯的燈光，照見安慰行為背後的矛盾心理：「當我試圖安慰他人時，其實是為了安慰自己」。而在《封鎖》（Blocking）中，淡藍色構築出的柔和氛圍與人物間冷漠的空洞眼神形成張力，細膩揭示出親密關係中無法言說的距離與孤獨感。李秀真的作品總是靜謐而撼人，觸及情感交會時的猶疑與不確定性。
在安吉拉·桑塔娜的繪畫中，女性身體被拉出社會視覺體系的框架，轉化為一種流動、閃爍且多義的存在。她的作品《誕生》（Naissance）以柔和的線條與明亮的色塊構成一個無邊界的身體風景，在抽象與感知之間游移。畫面仿若某種潛意識中出現的情緒起伏，召喚出對「成為」與「重塑」的想像。作為一位身處紐約的瑞士裔藝術家，桑塔娜從網絡圖像中取材，反思數位文化如何操演女性形象，並透過油畫這一緩慢且沉澱的媒材，對抗快速觀看的暴力
作為對話的延伸，展覽亦納入來自Hskin主理人收藏的兩位藝術家——維多利亞·坎頓與森萬里子。坎頓的繪畫語言坦率且自剖，融合具象與抽象，觸及性別、創傷與情感自主的主題。其作品常以身體為線索，書寫心理傷痕與身份認同的拉鋸。森萬里子則將科技與東方精神性融合，以雕塑與視覺裝置創造出閃耀的冥想之境。她的《Little Izumo Stone I》以壓克力結構呼應能量場與宇宙秩序，透過光線變化帶出某種內在的超越狀態。
五位藝術家的作品並非回答某種單一的「女性命題」，而是以各自的文化背景與媒材語言，並列出一系列關於親密、觀看、自我與他者之間的開放討論。在她們之間，身體不再只是被觀看的對象，而是歷史與情感的承載物，是與世界交涉的界面。展覽邀請觀者進入一場流動的敘事編織——在觀看的每一刻，重新感受關係中的不確定、複數與可能性。
.
My Dear：女性藝術家群展
Hskin藝術沙龍
高雄市鼓山區龍德路106巷32號4樓
開幕講座：2025 年 7 月 28 日（星期一）下午 1 時 至 3 時
開幕茶會：2025 年 7 月 28 日（星期一）下午 3 時 至 5 時
.
關於開幕講座資訊
「為什麼沒有偉大的女性藝術家？」
主講人：戴映萱 （Ying-Hsuan Tai）
與談人：鄭育欣（Stella Cheng）"
