sno,count,RMSE,MAE,R2
500101022,8946,1.404811531,0.163984013,0.995391633
500101181,8918,1.227633355,0.144438167,0.998019234
500119049,8805,1.040023569,0.115228336,0.985502954
500103009,8900,0.982167747,0.130131648,0.996923383
500101025,8794,0.871835557,0.091459385,0.998083292
500112007,8853,0.866849762,0.101357374,0.997313314
500104031,8802,0.82957095,0.103563527,0.995247133
500112082,8803,0.827020427,0.092942668,0.99550643
500119090,8800,0.821002878,0.100287762,0.995511576
500119068,8734,0.781845203,0.07747684,0.987308538
500119097,8694,0.727478188,0.074875431,0.998469224
500105001,8786,0.7209328,0.075490876,0.989493623
500101101,8852,0.699063481,0.080498055,0.997018346
500113068,8757,0.69720576,0.066528459,0.998345262
500107024,8870,0.695009883,0.095034536,0.995984554
500110005,8754,0.683566807,0.066291543,0.997162644
500106014,8772,0.676880204,0.074868716,0.99818525
500119075,8877,0.676413127,0.092431479,0.994360443
500109075,8819,0.674658329,0.088407737,0.994940522
500104108,8903,0.667354607,0.094199539,0.998182185
500112029,8707,0.661299362,0.056587439,0.995803038
500107023,8806,0.656194964,0.076247744,0.997510493
500101144,8799,0.64277835,0.073838512,0.997262257
500112081,8840,0.641344188,0.081313895,0.998524504
500101032,8858,0.639150453,0.067254008,0.997989713
500103044,8815,0.636095421,0.082078919,0.996255916
500119058,8755,0.634528423,0.0637232,0.992137262
500112049,8848,0.633299953,0.080261007,0.998271333
500119077,8666,0.619378532,0.060871606,0.995357792
500104004,8775,0.616885942,0.068537455,0.997414504
500113038,8777,0.606360413,0.05778167,0.99833404
500119050,8858,0.60229516,0.078270598,0.992066173
500101099,8783,0.586908578,0.061307369,0.998008911
500104107,8800,0.586665053,0.059911742,0.996629241
500101113,8835,0.581910475,0.079129259,0.998425824
500107050,8735,0.578384939,0.048615398,0.99831851
500107063,8828,0.577852989,0.076210782,0.994184789
500112051,8761,0.574638644,0.058850017,0.997219564
500110014,8746,0.568269067,0.058184913,0.998306311
500112066,8663,0.56766005,0.033980316,0.997815962
500101150,8831,0.566635908,0.065317008,0.996336141
500101109,8834,0.566309235,0.076562378,0.996615031
500112076,8868,0.566237869,0.069227375,0.99826632
500110048,8771,0.564307142,0.061395964,0.994126868
500112085,8804,0.561478384,0.069545518,0.998710904
500119086,8750,0.561194631,0.062091325,0.991893168
500104010,8717,0.558028126,0.053167393,0.993561885
500106065,8752,0.557303657,0.06139949,0.99788007
500108070,8752,0.554593574,0.042052731,0.997233249
500112032,8736,0.55318442,0.051623207,0.993351044
500110062,8765,0.545656866,0.061376867,0.996960614
500112046,8734,0.545136215,0.060176246,0.996549913
500112033,8673,0.540669071,0.04048662,0.996453076
500109032,8764,0.53975292,0.054185304,0.999127917
500106112,8787,0.539231582,0.06354133,0.996261032
500112070,8868,0.535922712,0.078616373,0.993187103
500106062,8815,0.525442024,0.067330006,0.996798051
500101107,8839,0.524281436,0.062953351,0.996631701
500103030,8775,0.520593013,0.066844743,0.995688376
500107028,8776,0.51760277,0.058979568,0.999114751
500112010,8850,0.517013827,0.068276271,0.997490905
500106055,8691,0.514672332,0.044435182,0.998359305
500111013,8779,0.513562383,0.055239093,0.998722427
500104035,8763,0.513260564,0.057399822,0.992501945
500101125,8812,0.511491317,0.062445253,0.996314164
500112026,8780,0.511452824,0.065522001,0.998110671
500108003,8626,0.508013406,0.033547028,0.993310845
500110024,8762,0.505748243,0.049506658,0.994619774
500107012,8807,0.50513842,0.059976172,0.99781823
500109081,8721,0.504390799,0.046288806,0.998087903
500106048,8745,0.500626355,0.049129671,0.998013725
500101166,8764,0.499356394,0.045345996,0.997449862
500101139,8766,0.499095028,0.051018046,0.996165253
500109025,8768,0.497961734,0.05968385,0.997004202
500119052,8805,0.497572839,0.060348287,0.991786199
500112025,8720,0.497169816,0.04911928,0.997575551
500110036,8749,0.496434883,0.050922168,0.994444895
500113040,8865,0.493892556,0.067982687,0.996752574
500119070,8785,0.493738944,0.05361872,0.998010402
500112012,8773,0.492823825,0.053408526,0.993571602
500119009,8796,0.492125121,0.045802229,0.995559864
500112017,8785,0.491192391,0.059499924,0.998461782
500119094,8740,0.490750697,0.050372807,0.989683917
500111070,8692,0.49019957,0.046042116,0.996192427
500101167,8840,0.489244744,0.065035652,0.997162575
500101123,8714,0.488369382,0.044436717,0.996327786
500111012,8663,0.487633047,0.041292143,0.992643366
500119071,8696,0.487541711,0.05165765,0.988431591
500108022,8704,0.486730973,0.044986098,0.997311801
500101174,8814,0.486229227,0.058978776,0.995725983
500112011,8799,0.485510801,0.059297856,0.998062904
500101179,8895,0.484249316,0.072157317,0.99616797
500101131,8728,0.483352848,0.04199267,0.997466066
500113022,8753,0.482475845,0.052524734,0.998354622
500119067,8829,0.481518252,0.060933482,0.995921803
500106070,8798,0.481274313,0.059141983,0.996937624
500106038,8722,0.476815497,0.037234956,0.996443705
500101110,8831,0.476339385,0.066051453,0.998722844
500119006,8766,0.474956505,0.051883736,0.999110507
500103034,8781,0.474888035,0.049644782,0.99578243
500101193,8674,0.474729376,0.038126313,0.998731566
500110023,8695,0.474523202,0.040781607,0.998024606
500112064,8762,0.473705776,0.048479802,0.998105543
500107029,8771,0.473395871,0.051839113,0.993441902
500119088,8794,0.473370358,0.051525567,0.995348749
500111038,8692,0.473096098,0.038288836,0.994393445
500106029,8760,0.471965715,0.052938813,0.997429336
500111019,8660,0.471935932,0.031373914,0.994907872
500111069,8700,0.471523432,0.042715383,0.9987402
500101206,8825,0.471050608,0.057651294,0.998045659
500112054,8763,0.47091568,0.050608827,0.998206192
500103011,8620,0.470668133,0.030507686,0.999485751
500109015,8665,0.467931672,0.028677765,0.99880712
500112040,8784,0.467544169,0.05832441,0.996197484
500104091,8753,0.467467736,0.047380917,0.997024871
500113045,8764,0.46724606,0.049918166,0.998204203
500109011,8722,0.467081613,0.047051192,0.998456156
500101191,8809,0.4656025,0.055446729,0.997260072
500107059,8785,0.465217287,0.055596111,0.99647985
500112038,8766,0.464999963,0.048221558,0.997245186
500104009,8720,0.46372119,0.042679928,0.998501982
500101170,8787,0.461340296,0.053371192,0.997288564
500113042,8759,0.46058579,0.050815694,0.998284787
500106132,8696,0.459869933,0.041423547,0.99886217
500112043,8773,0.458417619,0.055991964,0.998694514
500101217,8831,0.458260026,0.048006775,0.996653271
500112065,8727,0.458258285,0.040252644,0.998829039
500106068,8633,0.457996802,0.026463427,0.995916792
500108082,8775,0.457496599,0.051351836,0.996749255
500101116,8790,0.456941096,0.05644617,0.998402548
500101240,8676,0.456277442,0.029158099,0.997993783
500107022,8695,0.455127219,0.036181963,0.995093416
500119055,8760,0.453222266,0.051323599,0.99503946
500112030,8712,0.449486977,0.039160663,0.99771775
500111065,8705,0.448784565,0.037000392,0.992772607
500106006,8801,0.44788083,0.049935746,0.99893213
500110065,8776,0.447845432,0.052035153,0.999236851
500110044,8806,0.447143696,0.056734991,0.998615838
500104023,8707,0.446135276,0.037135589,0.997315873
500119045,8747,0.445572171,0.050420446,0.998157923
500112071,8767,0.445075911,0.052651487,0.997738839
500106059,8727,0.444935802,0.04807155,0.9974684
500110032,8740,0.444350509,0.043529065,0.995090423
500101156,8782,0.443404403,0.050187093,0.99841205
500106057,8661,0.441622807,0.034015263,0.999071577
500106077,8795,0.440194847,0.053111275,0.996193518
500119054,8708,0.439908496,0.036939547,0.991055023
500101169,8848,0.438072934,0.062712612,0.998592495
500101024,8731,0.437978413,0.044608178,0.995588318
500107118,8746,0.43502652,0.047125657,0.996579039
500103028,8814,0.434240355,0.055183358,0.99933248
500113035,8726,0.433705993,0.045791695,0.997826624
500101035,8711,0.433488234,0.035568023,0.994708001
500104003,8699,0.433068453,0.042753612,0.99804086
500106054,8652,0.432760523,0.030969448,0.99682783
500101141,8807,0.431921356,0.042467058,0.996240263
500111119,8637,0.431375269,0.033546042,0.997949633
500101027,8899,0.431181942,0.067063057,0.998684634
500110064,8785,0.430704636,0.04712021,0.993892474
500101137,8788,0.430513217,0.054717605,0.998791326
500110061,8802,0.430428074,0.048334166,0.995112013
500103027,8775,0.429336214,0.050614663,0.997866962
500103020,8661,0.429105829,0.030796617,0.998255303
500107013,8821,0.428938394,0.052596455,0.997696438
500113039,8805,0.428869937,0.056373424,0.996186617
500104055,8680,0.428747185,0.034852559,0.997931684
500112035,8770,0.428172414,0.044830597,0.997105394
500112105,8769,0.426805965,0.047899169,0.995860564
500119087,8731,0.424911402,0.044414767,0.995946684
500104046,8822,0.424361343,0.05443359,0.998188234
500110060,8706,0.42377822,0.035436921,0.99664198
500109046,8645,0.423479565,0.03269732,0.996235944
500104014,8710,0.420798482,0.038856219,0.999228323
500119076,8769,0.420716935,0.04753653,0.987216828
500101115,8768,0.41924147,0.05433358,0.999078008
500119066,8737,0.418551898,0.046931942,0.993057971
500107005,8652,0.416735767,0.029351378,0.998506721
500109008,8627,0.416494289,0.023635563,0.997190233
500108026,8663,0.414966245,0.032587508,0.997332051
500108084,8711,0.414912778,0.04187176,0.994728759
500106010,8685,0.414433739,0.038053107,0.998876319
500106051,8695,0.41437383,0.032416312,0.995654686
500119095,8711,0.413447504,0.042722152,0.994221944
500106056,8690,0.412254477,0.042631089,0.998128893
500111060,8686,0.411873294,0.034124223,0.998075691
500104072,8700,0.410397027,0.039973355,0.99785365
500109053,8749,0.410100287,0.042852448,0.998576539
500110013,8749,0.408387196,0.044876448,0.997126027
500110017,8773,0.408381265,0.048026977,0.997705807
500119059,8666,0.40820331,0.038252165,0.991121106
500101212,8749,0.408199983,0.039640302,0.995389982
500112018,8752,0.407813653,0.046573793,0.99783028
